cgpa,tenth_percentage,twelfth_percentage,backlogs,projects,internships,certifications,communication_level,aptitude_score,dsa_level,python_level,sql_level,placed
7.7,79.25,67.78,1,1,1,1,1,64.83,1,6,6,0
7.06,73.71,76.77,0,0,2,0,3,51.17,2,8,6,0
7.85,79.22,69.53,0,3,0,1,3,73.11,4,8,2,1
8.72,83.43,72.28,1,0,0,1,2,74.43,7,10,3,0
6.97,78.49,91.73,1,2,1,0,2,43.36,9,7,3,1
6.97,78.41,88.4,0,4,2,1,6,52.65,10,4,3,1
8.78,70.98,62.0,1,3,1,3,1,64.45,5,4,2,1
7.97,71.37,83.3,1,0,1,2,6,82.11,10,6,9,1
6.73,63.97,83.11,1,0,0,0,5,74.78,2,9,6,0
7.74,95.5,63.52,1,2,0,3,6,30.04,1,7,2,0
6.74,65.56,83.19,1,2,1,3,5,60.62,10,5,3,1
6.73,71.07,90.38,0,1,1,1,7,72.09,1,5,10,1
7.44,70.82,63.77,1,2,2,4,1,53.0,5,8,6,1
5.29,86.95,65.82,0,0,1,1,3,51.84,7,6,4,0
5.48,75.05,85.18,1,3,1,3,6,53.8,9,1,7,1
6.64,90.48,77.71,3,0,2,2,1,60.38,9,1,6,0
6.19,71.27,80.51,0,0,0,3,7,50.31,8,9,6,1
7.51,80.79,78.41,2,1,1,1,4,74.9,1,8,3,0
6.29,69.65,78.91,1,2,2,1,3,52.09,5,6,8,0
5.79,99.45,61.74,3,1,2,0,10,49.46,6,1,9,0
8.67,66.12,85.47,3,4,0,1,9,59.02,6,2,6,1
6.97,81.1,86.7,3,5,2,4,1,87.18,4,10,2,1
7.27,84.34,72.71,1,1,1,1,8,72.88,1,3,1,0
5.78,82.14,74.57,3,2,1,2,1,73.83,3,10,3,0
6.66,76.15,59.69,1,3,1,2,5,69.29,10,3,3,1
7.31,76.7,80.14,2,3,0,1,10,50.8,4,2,8,0
6.05,78.44,80.72,0,2,2,3,8,55.4,4,2,5,0
7.58,76.53,74.38,0,0,2,1,6,52.85,4,6,1,0
6.6,87.64,86.24,1,0,2,0,7,81.37,5,7,4,0
6.91,100.0,71.66,3,0,2,5,8,69.43,9,4,7,1
6.6,72.43,80.65,3,3,0,1,6,39.99,4,1,5,0
9.05,64.3,64.8,0,1,0,1,6,86.79,9,6,10,1
7.19,77.12,74.76,3,5,1,1,6,60.02,9,7,6,1
6.14,100.0,73.26,0,2,2,1,5,74.8,1,4,10,1
8.02,69.96,77.25,1,3,0,1,8,80.79,5,6,4,1
5.98,94.39,71.3,1,4,1,0,2,26.57,9,9,2,0
7.41,94.78,73.69,3,0,2,2,7,71.82,4,4,9,0
5.24,72.46,83.26,0,0,0,2,4,61.21,5,10,2,0
5.87,83.69,70.63,1,0,0,1,1,28.67,4,4,2,0
7.4,94.28,58.93,0,1,1,3,5,48.01,2,10,2,1
7.94,74.21,92.5,0,1,0,1,3,58.18,10,5,1,1
7.37,75.96,88.81,1,1,2,0,4,77.68,2,3,3,0
7.08,72.18,62.08,0,1,1,3,7,62.36,2,10,6,1
6.9,67.85,81.9,3,2,0,3,5,67.22,1,2,7,0
5.72,71.51,69.97,1,1,0,0,4,59.66,3,9,1,0
6.48,65.76,77.63,0,1,0,1,1,81.32,10,1,5,0
6.74,78.34,77.94,3,3,2,2,6,72.82,1,5,5,0
8.26,70.3,72.66,2,1,0,1,10,67.44,4,5,1,0
7.54,80.34,67.16,0,2,2,0,6,47.85,1,8,4,1
5.44,62.44,68.09,0,1,0,0,7,66.8,4,6,10,0
7.52,81.31,65.84,0,2,2,2,1,100.0,3,6,1,1
6.81,86.34,66.68,0,3,0,3,4,76.93,9,6,1,1
6.52,58.06,74.33,0,3,0,0,9,53.91,1,4,7,0
7.81,81.74,67.84,2,0,1,0,10,92.79,8,1,7,0
8.23,90.28,81.82,1,2,2,1,6,53.25,9,3,3,1
8.13,65.9,89.87,1,0,1,3,2,75.71,7,10,7,1
6.36,94.73,69.2,0,3,1,0,4,64.31,1,6,3,0
6.89,82.19,77.39,2,3,0,5,6,67.73,4,5,2,0
7.53,70.95,80.0,0,1,1,1,4,68.28,10,10,10,1
8.18,77.44,79.72,1,0,0,1,10,61.29,1,1,4,0
6.72,83.58,75.76,0,1,0,3,7,59.16,4,5,10,0
7.01,78.76,82.43,2,1,1,1,3,45.25,3,2,3,0
6.09,83.39,79.82,3,1,1,0,6,48.12,2,1,7,0
6.0,68.79,62.62,2,2,2,1,4,70.01,1,4,1,0
8.01,79.69,83.69,0,4,1,1,3,54.76,6,6,6,1
8.56,63.86,83.87,1,2,1,1,3,51.35,7,7,2,1
7.13,76.89,67.37,3,3,2,2,2,100.0,6,9,8,1
8.2,68.96,75.38,0,2,2,1,3,100.0,9,5,5,1
7.56,70.64,81.83,1,3,0,0,10,73.71,9,8,3,1
6.55,90.36,72.91,3,3,1,2,1,75.82,2,8,10,0
7.56,88.91,85.73,0,0,2,1,3,52.81,2,9,7,0
8.74,84.09,98.64,3,1,1,2,9,47.22,9,3,2,0
7.16,67.08,67.14,2,2,0,2,4,59.89,1,3,5,0
8.76,74.84,61.19,0,3,2,1,3,65.0,5,9,8,1
4.58,90.13,78.04,0,0,1,1,8,75.7,1,7,1,0
8.02,79.42,82.22,2,1,0,0,1,37.54,7,4,1,0
7.29,100.0,72.69,1,4,1,2,5,97.21,9,1,3,1
6.9,81.93,89.53,3,2,1,1,1,68.72,6,7,3,0
7.29,79.92,61.61,2,1,1,4,7,41.74,2,10,7,0
5.21,74.91,81.93,0,1,0,1,5,67.36,6,6,6,1
6.98,79.34,68.94,0,1,2,3,2,51.46,9,3,7,1
7.56,76.48,92.19,0,3,0,1,1,50.41,3,5,4,0
8.68,85.08,94.93,3,1,2,2,7,49.06,9,3,2,1
6.68,87.57,67.33,2,2,0,2,1,61.15,8,8,2,0
6.39,70.14,69.5,0,5,0,4,3,96.54,7,5,10,1
6.7,64.69,83.6,0,0,0,1,6,66.39,8,10,1,0
8.12,59.64,71.13,1,3,0,0,6,75.41,10,10,9,1
7.53,83.08,74.55,1,2,1,3,7,79.08,6,6,7,1
6.67,66.97,75.25,0,1,0,6,1,62.83,3,2,10,0
7.71,56.47,55.8,0,1,1,1,7,47.58,7,8,3,1
7.3,81.89,74.86,0,3,0,0,2,41.02,4,9,2,0
8.17,100.0,68.1,3,1,1,1,6,59.19,10,3,3,0
6.5,77.94,70.07,1,1,1,1,8,82.16,5,6,7,1
6.87,86.38,89.44,1,1,0,0,5,79.03,8,6,5,1
6.81,78.82,62.43,3,2,1,1,10,68.85,7,2,3,0
5.74,77.01,83.13,0,1,1,1,3,70.83,7,10,9,1
7.5,87.19,72.21,0,2,1,4,8,62.95,8,8,2,1
7.46,75.1,72.2,0,3,0,4,8,57.78,10,5,7,1
7.21,80.67,82.9,1,2,0,2,4,53.93,3,8,10,0
6.97,81.22,78.4,0,3,0,0,8,42.93,3,8,6,1
5.78,71.32,80.71,2,2,2,1,5,91.96,2,3,6,0
6.78,87.92,84.68,0,1,1,1,5,67.57,1,5,7,0
6.86,76.25,71.69,3,2,0,2,3,58.36,10,7,6,0
6.4,70.44,68.88,2,3,0,0,7,92.32,6,5,2,0
7.04,83.37,64.15,1,2,2,5,9,95.18,6,6,5,1
7.6,69.02,66.75,2,0,1,2,9,100.0,10,2,3,1
9.09,78.28,100.0,0,3,1,2,1,61.28,8,8,9,1
7.37,77.91,87.45,3,1,1,1,1,66.58,6,5,8,0
7.46,88.86,61.49,0,1,0,1,10,74.76,6,6,10,1
7.13,82.75,61.78,2,4,1,0,5,89.93,1,1,2,0
5.28,77.75,79.82,0,3,1,3,1,65.93,7,10,1,1
7.17,86.18,80.47,0,3,2,4,4,50.25,7,2,4,1
7.26,91.9,80.49,3,2,1,2,1,53.7,10,4,4,0
9.66,83.58,72.45,0,1,0,1,2,82.66,9,9,10,1
7.01,78.1,73.75,2,1,0,3,2,74.32,7,6,2,0
7.5,64.88,78.28,0,0,0,1,4,62.41,8,8,7,0
7.17,67.35,75.86,1,4,0,2,8,61.42,4,2,3,0
6.03,74.95,52.81,0,3,0,1,2,62.41,9,10,7,1
8.34,71.9,72.7,0,0,0,0,9,83.59,1,5,7,1
7.95,76.13,66.49,2,0,0,0,9,53.17,8,1,1,0
7.99,78.57,76.75,1,6,2,3,2,46.8,3,4,6,1
6.29,83.3,100.0,2,2,1,2,1,92.25,1,10,4,0
8.6,77.3,78.67,0,6,0,0,10,65.38,2,1,8,1
5.8,82.87,71.86,0,0,2,3,10,63.81,6,9,8,1
7.79,78.64,84.22,1,2,1,1,9,75.06,5,2,3,1
9.39,58.25,79.83,2,0,1,1,2,50.17,3,7,4,0
6.21,68.61,79.2,3,1,0,1,8,76.26,9,3,1,0
6.63,76.56,81.07,2,6,1,1,3,59.26,8,2,10,1
7.3,65.9,95.57,0,1,2,2,1,81.89,3,4,2,0
6.7,84.0,63.69,0,2,0,0,1,41.99,2,7,7,0
5.65,93.31,79.74,1,1,0,0,10,71.76,8,7,7,1
7.27,90.19,65.74,2,1,1,1,2,61.53,5,9,9,0
6.14,75.87,80.56,0,4,0,1,7,54.43,9,3,10,1
7.67,92.91,65.81,3,5,0,1,6,76.57,1,7,9,1
6.28,79.49,70.83,0,3,0,1,2,62.78,10,6,9,1
8.75,74.63,72.05,1,1,1,3,4,71.99,3,10,6,1
6.42,71.87,84.76,0,2,1,2,2,83.99,5,7,8,0
6.88,74.98,84.18,1,3,1,2,1,76.87,2,7,9,0
8.01,74.12,62.54,3,3,2,0,3,48.79,3,10,7,0
5.97,79.7,75.55,2,3,1,0,4,56.87,4,5,4,0
7.43,79.61,67.9,1,3,0,2,10,71.89,4,9,4,1
8.51,78.03,62.41,0,2,0,0,5,76.91,9,7,6,1
5.59,82.37,72.83,0,3,1,2,5,59.14,1,7,4,0
7.38,89.91,71.92,0,5,2,3,7,67.97,9,3,7,1
7.46,87.5,99.27,2,0,0,3,10,67.87,9,1,8,0
7.98,63.15,79.33,1,1,0,1,8,69.96,6,5,8,1
5.96,52.46,61.22,3,3,1,2,9,47.32,1,8,8,0
5.88,87.34,69.35,0,1,1,1,7,43.77,6,5,2,0
7.72,64.33,85.21,0,0,1,3,5,31.11,8,10,10,1
7.5,75.75,95.88,0,1,0,2,9,66.58,5,3,2,1
7.45,66.3,59.14,2,3,1,1,8,44.54,5,9,2,1
7.55,59.98,56.2,3,3,2,2,10,97.05,1,2,2,0
6.52,83.41,93.71,1,3,1,0,9,74.81,1,3,4,1
7.43,85.59,78.9,3,2,2,1,10,47.27,8,4,5,1
7.49,72.23,66.32,0,2,2,0,8,82.03,5,10,4,1
6.49,52.09,80.35,0,2,1,0,6,82.06,8,1,5,0
9.07,72.54,48.64,0,3,0,2,4,83.28,10,4,4,1
7.67,81.92,75.03,0,2,1,3,9,52.88,2,4,7,1
6.01,63.21,78.28,1,1,0,2,9,75.74,4,9,10,1
7.86,79.83,84.24,0,2,2,2,10,83.54,10,8,1,1
